Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,ASSET #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Computer,91829,CIRCUIT COURT CLERK,12/15/2015,$88.89,$2.04,0.23,$20.44,$20.44,Successful,12/15/2015,,100096,,,3659599241,$3000,$0.00,$68.44,General Fund,0
Dell Computer,91830,CIRCUIT COURT CLERK,12/15/2015,$92.99,$2.14,0.23,$21.38,$21.38,Successful,12/18/2015,,100103,,,3659767367,$3000,$0.00,$71.60,General Fund,0
Dell Computer,91831,CIRCUIT COURT CLERK,12/15/2015,$92.99,$2.14,0.23,$21.38,$21.38,Successful,12/18/2015,,100110,,,3659767376,$3000,$0.00,$71.60,General Fund,0
Dell Computer,91832,CIRCUIT COURT CLERK,12/15/2015,$92.99,$2.14,0.23,$21.38,$21.38,Successful,12/15/2015,,100091,,,3659583941,$3000,$0.00,$71.60,General Fund,0
Dell Laptop w/Bag,91810,ITS,12/15/2015,$57.00,$1.31,0.23,$13.11,$13.11,Successful,12/16/2015,,"99207B, 99843",,,3659632594,$3000,$0.00,$43.89,General Fund,0
Dell Laptop w/Bag,91809,ITS,12/15/2015,$57.00,$1.31,0.23,$13.11,$13.11,Successful,12/16/2015,,"99207A, 99839",,,3659632589,$3000,$0.00,$43.89,General Fund,0
GE Washer & Dryer,91887,DRUG TASK FORCE,12/15/2015,$180.00,$4.13,0.23,$41.40,$41.40,Successful,12/17/2015,,"TF-329-057, TF-329-058",,,3659693540,$3000,$0.00,$138.60,Enterprise,0
Craftsman Tool Box,91888,DRUG TASK FORCE,12/15/2015,$64.55,$1.48,0.23,$14.84,$14.84,Successful,12/29/2015,,TF-329-081B,,,3660200696,$3000,$0.00,$49.70,Enterprise,0
Exide Battery Charger & Starter,91889,DRUG TASK FORCE,12/15/2015,$90.00,$2.06,0.23,$20.70,$20.70,Successful,12/16/2015,,TF-329-070,,,3659661366,$3000,$0.00,$69.30,Enterprise,0
Wel-Bilt 5-Gallon Portable Air Tank,91890,DRUG TASK FORCE,12/15/2015,$32.00,$0.74,0.23,$7.36,$7.36,Successful,12/29/2015,,TF-329-060,,,3660200704,$3000,$0.00,$24.64,Enterprise,0
Exercise Bike,91798,PARKS,12/14/2015,$274.00,$6.30,0.23,$63.02,$63.02,Successful,12/15/2015,,101082,,,3659601640,$3000,$0.00,$210.98,General Fund,0
Table Rack & Tables,91797,PARKS,12/14/2015,$181.00,$4.16,0.23,$41.63,$41.63,Successful,12/17/2015,,"99262, 99263, 99264, 99265, 99266, 99267, 99268, 99269, 99270, 99271, 99344",,,3659705332,$3000,$0.00,$139.37,General Fund,0
Table Rack & Tables,91796,PARKS,12/14/2015,$93.13,$2.14,0.23,$21.41,$21.41,Successful,12/15/2015,,"99343, 99253, 99254, 99255, 99256, 99257, 99258, 99259, 99260, 99261",,,3659605892,$3000,$0.00,$71.71,General Fund,0
Chair Rack & Chairs,91795,PARKS,12/14/2015,$155.00,$3.56,0.23,$35.65,$35.65,Successful,12/17/2015,,"99345, 99273, 99274, 99275, 99276, 99277, 99278, 99279, 99280, 99281, 99282, 99283, 99284, 99285, 99286, 99287, 99288, 99289, 99290, 99281, 99292, 99293, 99294, 99295, 99296, 99297, 99298, 99299, 99300, 99301, 99302, 99303, 99304, 99305, 99306, 99307, 99308, 99309, 99310, 99311, 99312, 99313, 99314, 99315, 99316, 99317, 99318, 99319, 99320, 99321, 99322, 99323, 99324, 99325, 99326",,,3659705325,$3000,$0.00,$119.35,General Fund,0
Elliptical,91794,POLICE DEPARTMENT,12/14/2015,$59.51,$1.37,0.23,$13.68,$13.68,Successful,12/21/2015,,101202,,,3659857540,$3000,$0.00,$45.82,General Fund,0
Shelf,91793,SHERIFF,12/14/2015,$100.00,$2.29,0.23,$23.00,$23.00,Successful,12/28/2015,,99910,,,3660147769,$3000,$0.00,$77.00,General Fund,0
Shelf,91792,SHERIFF,12/14/2015,$90.00,$2.06,0.23,$20.70,$20.70,Successful,12/28/2015,,99911,,,3660147759,$3000,$0.00,$69.30,General Fund,0
Shelf,91791,SHERIFF,12/14/2015,$133.00,$3.06,0.23,$30.59,$30.59,Successful,12/14/2015,,99912,,,3659513143,$3000,$0.00,$102.41,General Fund,0
Lasar Radar,91790,POLICE DEPARTMENT,12/14/2015,$68.00,$1.56,0.23,$15.64,$15.64,Successful,12/17/2015,,101056,,,3659684775,$3000,$0.00,$52.36,General Fund,0
Dell Laptop w/Bag,91807,ITS,12/14/2015,$101.02,$0.00,0.23,$23.23,$23.23,Successful,12/15/2015,,99830,,,Money Order,$3000,$0.00,$77.78,General Fund,0
Weight Bench,91802,PARKS,12/14/2015,$23.00,$0.53,0.23,$5.29,$5.29,Successful,12/16/2015,,101203,,,3659627404,$3000,$0.00,$17.71,General Fund,0
Ping Pong Table,91801,PARKS,12/14/2015,$105.01,$0.00,0.23,$24.15,$24.15,Successful,12/17/2015,,99346,,,Cashiers Check,$3000,$0.00,$80.85,General Fund,0
Stair Master,91800,PARKS,12/14/2015,$420.00,$9.66,0.23,$96.60,$96.60,Successful,12/15/2015,,101083,,,3659601642,$3000,$0.00,$323.39,General Fund,0
