Month,Year,Zip Code,Customer Type,Monthly KWH Used
1,2016,"37076
(36.175185, -86.5933)",COMMERCIAL,1000319
1,2016,"37073
(36.42764, -86.812249)",RESIDENTIAL,88599
1,2016,"37221
(36.064367, -86.96029)",COMMERCIAL,3461093
01,2016,"37227
(36.129798, -86.666977)",COMMERCIAL,50020
8,2015,"37115
(36.262567, -86.704171)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1920673
8,2015,"37015
(36.29003, -87.070106)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,814394
8,2015,"37122
(36.187906, -86.500085)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,696362
8,2015,"37210
(36.140869, -86.738847)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,733088
8,2015,"37072
(36.350389, -86.731255)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1790369
8,2015,"37205
(36.112469, -86.867263)",COMCOMM > 50 KW                                                  ,9106796
8,2015,"37138
(36.239455, -86.611783)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,582506
8,2015,"37189
(36.279393, -86.826731)",COMCOMM > 50 KW                                                  ,1607902
8,2015,"37207
(36.224945, -86.775061)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,2022349
8,2015,"37189
(36.279393, -86.826731)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1072968
8,2015,"37227
(36.129798, -86.666977)",COMCOMM > 50 KW                                                  ,117900
8,2015,"37220
(36.06788, -86.776955)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,105202
8,2015,"37209
(36.149599, -86.874487)",OLMOLB METERED                                                   ,13963
8,2015,"37027
(36.00245, -86.778709)",COMCOMM > 50 KW                                                  ,8643173
8,2015,"37242
(36.165017, -86.782171)",COMCOMM > 50 KW                                                  ,398400
8,2015,"37209
(36.149599, -86.874487)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,2960268
8,2015,"37064
(35.889628, -86.926986)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,6944
8,2015,"37080
(36.331509, -86.915843)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,1753652
8,2015,"37208
(36.176427, -86.805176)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,2555488
